seller_id,buyer_id,traded_energy,traded_price,traded_rate,bid_id,timestamp
Liege,B28,45.0,1350.0,30.0,1c8925a8-f217-4539-a49c-13174fd231f6,1691657686.1534553
Market Maker,Liege,45.0,1350.0,30.0,f0002095-3179-41a7-806b-b8d24d7f9810,1691657706.192072
Liege,B10,48.0,1440.0,30.0,823bcf95-d25b-4a37-b532-1369a8852269,1691657726.2991786
Market Maker,Liege,48.0,1440.0,30.0,58fe6429-c6e4-49d2-be41-e9ab70591a4a,1691657744.7713113
Liege,B15,70.0,2100.0,30.0,fec2a5b3-fccd-4e27-baa6-8fe7847a7d86,1691657764.2869809
Market Maker,Liege,70.0,2100.0,30.0,b7eb49fb-db96-4570-95c7-6a2b0d26dd6a,1691657784.217286
Liege,B17,3.0,90.0,30.0,4ea813a9-8e75-402b-ada6-947ea8fe9091,1691657804.657444
Market Maker,Liege,3.0,90.0,30.0,4593f955-2e7f-40d5-ab52-af9c527a80c1,1691657825.0725317
Liege,B52,26.0,780.0,30.0,bc2f8811-fce4-43e6-86a9-8dd827f5c876,1691657846.2479234
Market Maker,Liege,26.0,780.0,30.0,150fcdfa-7788-4920-ae02-bba00dc5fd35,1691657867.078256
Liege,B36,96.0,2880.0,30.0,a7f5f3f9-8722-45b8-a3c3-a66b916dd089,1691657888.6139
Market Maker,Liege,96.0,2880.0,30.0,129e3c94-a333-4592-86e2-782e00b18ab2,1691657910.3183625
B06,B22,46.0,690.0,15.0,5d88cb7c-324a-41e9-86d3-a144573edae3,1691657933.2584863
B06,B31,10.0,150.0,15.0,fe9faaf9-6cb3-4939-96e9-ab721bf50428,1691657955.7431173
B06,B11,2.0,30.0,15.0,51f192e4-13d4-4f14-ae44-95a76409dc8f,1691657979.0309885
B06,B15,41.0,615.0,15.0,7da4e28c-5beb-431d-b70b-2f8317270eeb,1691658002.9875686
B05a,B34,16.0,240.0,15.0,145e7448-87b8-4935-90e2-4fc5c71c48e8,1691658029.3487272
B21,B09,8.0,120.0,15.0,e452ecb8-ec1f-4c31-9f26-5a986d329f78,1691658055.1276822
B21,B23,6.0,90.0,15.0,8e44b7ee-2225-4239-926b-aa6acd82763e,1691658080.6817021
Liege,B52,25.0,750.0,30.0,814c6b0e-a10b-4bc8-843c-dd28b7d8c78e,1691658106.160608
Market Maker,Liege,25.0,750.0,30.0,b6114696-4e32-45ae-b769-e93022d1e0e0,1691658138.43789
Liege,B10,51.0,1530.0,30.0,8b5a4271-71b1-4498-ba85-927ef297980f,1691658166.7703667
Market Maker,Liege,51.0,1530.0,30.0,50a30744-391e-43c9-b681-26f37895fe76,1691658195.863033
Liege,B04,2.0,60.0,30.0,0e0b8f36-0c6d-4adc-b418-de749ed3536f,1691658223.9196405
Market Maker,Liege,2.0,60.0,30.0,cbf51cec-e88e-4e5f-af58-a228ee33d34f,1691658252.0711484
Liege,B42,47.0,1410.0,30.0,39ac1098-e834-4452-bc28-b856879a825f,1691658281.3120258
Market Maker,Liege,47.0,1410.0,30.0,b1ba744e-4dee-4a3e-adca-65a7139529c0,1691658311.0124905
Liege,B13,10.0,300.0,30.0,1cb79f63-7d71-4a37-8d5c-98bd1ac38bd6,1691658340.0158582
Market Maker,Liege,10.0,300.0,30.0,9f91532a-80f8-45b8-8b12-e780bc8d39d5,1691658371.3740644
Liege,B34,6.0,180.0,30.0,48b24476-2ac5-4b5c-a299-990ccf773eae,1691658401.88021
Market Maker,Liege,6.0,180.0,30.0,31843c53-62e1-4cec-b252-38458ff4b75f,1691658433.321595
Liege,B23,86.0,2580.0,30.0,d1081b71-6a73-41ed-ba1f-469a48f51597,1691658464.8718498
Market Maker,Liege,86.0,2580.0,30.0,0c96d35d-f19d-489e-a2f7-470ad5bf68e5,1691658496.9931827
Liege,B15,40.0,1200.0,30.0,86e678f3-7b4e-48f3-9414-aba9d4ed74d0,1691658529.964054
Market Maker,Liege,40.0,1200.0,30.0,f53c5fd3-b6c2-4b74-a8ee-d3bb788ecb18,1691658562.5196028
Liege,B36,118.0,3540.0,30.0,5b4ef900-1f24-49a7-9e78-798a60a9e70a,1691658596.415853
Market Maker,Liege,118.0,3540.0,30.0,a5ee1a54-e912-4a70-a8ea-9b2abdf6d880,1691658637.894193
Liege,B17,3.0,90.0,30.0,ab140212-ce19-4d52-9a25-0de4984e9410,1691658685.427499
Market Maker,Liege,3.0,90.0,30.0,88ef3992-b6e1-47ec-9623-fd9c584b1899,1691658720.6509948
Liege,B28,73.0,2190.0,30.0,77126a15-de71-4b00-8461-5b8e24fd8de0,1691658756.7235487
Market Maker,Liege,73.0,2190.0,30.0,75dcfbae-c342-4cde-910f-83ad234078b4,1691658792.9464188
Liege,B08,14.0,420.0,30.0,eefcd059-6c12-42ae-aa6e-016305a08271,1691658829.9932652
Market Maker,Liege,14.0,420.0,30.0,c2a86035-3272-4c7f-8078-8e89bc20e5a5,1691658877.6053243
B05a,B52,16.0,240.0,15.0,02aa560e-560e-4b7f-a11d-ec66c610f975,1691658921.1626315
B21,B10,13.0,195.0,15.0,afa86210-0271-4b49-a8b7-55bb2f2b10f3,1691658952.0666533
B06,B13,10.0,150.0,15.0,b92220cd-024a-4d3a-82ff-54cb9a1e0ff2,1691658972.9564288
B06,B09,6.0,90.0,15.0,3c697cd9-9738-44d8-82ea-0bef533ea68d,1691658994.2022889
B06,B15,82.0,1230.0,15.0,2d2c071c-9575-45c0-aeda-a30f2b85ee06,1691659016.1257892
Liege,B11,3.0,90.0,30.0,56adacbd-e5f1-4efd-9ce1-c656f851af99,1691659038.12595
Market Maker,Liege,3.0,90.0,30.0,956e632d-f189-4d06-a129-dd00ace96b17,1691659061.6664772
Liege,B22,44.0,1320.0,30.0,ced78cdb-15a4-44f7-855b-a644c60ace71,1691659084.3659475
Market Maker,Liege,44.0,1320.0,30.0,cb3d6b9e-aa7c-4758-b89b-6f0060673c6d,1691659107.0609548
Liege,B15,2.0,60.0,30.0,5ec54d64-9649-4947-b37a-b027d52c8459,1691659131.1523197
Market Maker,Liege,2.0,60.0,30.0,b30cfe1a-ce69-4a07-b118-c6d9b6c004d3,1691659154.6633718
Liege,B42,47.0,1410.0,30.0,3d0ac401-7fa6-405f-90f8-2df7ac0195d0,1691659177.9621074
Market Maker,Liege,47.0,1410.0,30.0,d2a539a5-3133-4011-a2a3-1a0f536a4645,1691659201.6343508
Liege,B31,10.0,300.0,30.0,79906edf-6ebc-432c-bae2-66ff7849761f,1691659225.7276385
